	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000172	3.987662e+01	2.105266e+04	4.431699e+04	2.702017e+03	-2.377039e+01	-1.139308e+02	4.043290e+00	3.325400e-01	1.986626e+02	3.296600e-01
1000173	3.998078e+01	2.105090e+04	4.430477e+04	2.702545e+03	-2.379615e+01	-1.139890e+02	4.288890e+00	2.168500e-01	1.986937e+02	5.913100e-01
1000174	4.008557e+01	2.104825e+04	4.429256e+04	2.703068e+03	-2.381998e+01	-1.140415e+02	4.564400e+00	1.779500e-01	1.987075e+02	9.267300e-01
1000175	4.019080e+01	2.104470e+04	4.428145e+04	2.703580e+03	-2.384173e+01	-1.140825e+02	4.926120e+00	4.033400e-01	1.986989e+02	1.439550e+00
1000176	4.028487e+01	2.104294e+04	4.427034e+04	2.704039e+03	-2.385915e+01	-1.141023e+02	5.386670e+00	7.146800e-01	1.986771e+02	1.924850e+00
1000177	4.038010e+01	2.104029e+04	4.425924e+04	2.704504e+03	-2.387856e+01	-1.141077e+02	5.921750e+00	1.032680e+00	1.986454e+02	2.352170e+00
1000178	4.047443e+01	2.103853e+04	4.424813e+04	2.704964e+03	-2.390014e+01	-1.141002e+02	6.491640e+00	1.344620e+00	1.986072e+02	2.749140e+00
1000179	4.057016e+01	2.103677e+04	4.423814e+04	2.705432e+03	-2.392371e+01	-1.140799e+02	7.103050e+00	1.657530e+00	1.985665e+02	3.142080e+00
1000180	4.066493e+01	2.103412e+04	4.422704e+04	2.705916e+03	-2.394703e+01	-1.140480e+02	7.734680e+00	1.928520e+00	1.985348e+02	3.524150e+00
1000181	4.076836e+01	2.103147e+04	4.421482e+04	2.706462e+03	-2.397198e+01	-1.139988e+02	8.454180e+00	2.010730e+00	1.985231e+02	3.972280e+00
1000182	4.087343e+01	2.102882e+04	4.420260e+04	2.707040e+03	-2.399528e+01	-1.139337e+02	9.219390e+00	2.000280e+00	1.985341e+02	4.417470e+00
1000183	4.096953e+01	2.102616e+04	4.419261e+04	2.707587e+03	-2.401259e+01	-1.138626e+02	9.934780e+00	1.967460e+00	1.985627e+02	4.810160e+00
1000184	4.107259e+01	2.102441e+04	4.418040e+04	2.708214e+03	-2.402719e+01	-1.137745e+02	1.071214e+01	1.919430e+00	1.986121e+02	5.225660e+00
1000185	4.117513e+01	2.102175e+04	4.416929e+04	2.708872e+03	-2.403816e+01	-1.136748e+02	1.149419e+01	1.872170e+00	1.986776e+02	5.636010e+00
1000186	4.127138e+01	2.101910e+04	4.415819e+04	2.709536e+03	-2.404584e+01	-1.135702e+02	1.223360e+01	1.829980e+00	1.987502e+02	6.019210e+00
1000187	4.136820e+01	2.101645e+04	4.414708e+04	2.710245e+03	-2.405140e+01	-1.134543e+02	1.297960e+01	1.793830e+00	1.988296e+02	6.405470e+00
1000188	4.146617e+01	2.101380e+04	4.413598e+04	2.711008e+03	-2.405487e+01	-1.133256e+02	1.374026e+01	1.768030e+00	1.989120e+02	6.804410e+00
1000189	4.157050e+01	2.101204e+04	4.412377e+04	2.711876e+03	-2.405647e+01	-1.131757e+02	1.455558e+01	1.744400e+00	1.989966e+02	7.227830e+00
1000190	4.166466e+01	2.100939e+04	4.411377e+04	2.712708e+03	-2.405565e+01	-1.130292e+02	1.529443e+01	1.725710e+00	1.990659e+02	7.611290e+00
1000191	4.176102e+01	2.100763e+04	4.410267e+04	2.713617e+03	-2.405214e+01	-1.128687e+02	1.605270e+01	1.707390e+00	1.991268e+02	8.002680e+00
1000192	4.186518e+01	2.100498e+04	4.409157e+04	2.714658e+03	-2.404472e+01	-1.126835e+02	1.687264e+01	1.687260e+00	1.991790e+02	8.424900e+00
1000193	4.196970e+01	2.100233e+04	4.407936e+04	2.715780e+03	-2.403282e+01	-1.124860e+02	1.769483e+01	1.665550e+00	1.992161e+02	8.848260e+00
1000194	4.207529e+01	2.099968e+04	4.406715e+04	2.716986e+03	-2.401541e+01	-1.122750e+02	1.852402e+01	1.641180e+00	1.992384e+02	9.275640e+00
1000195	4.218010e+01	2.099703e+04	4.405605e+04	2.718250e+03	-2.399224e+01	-1.120546e+02	1.934484e+01	1.614010e+00	1.992475e+02	9.699430e+00
1000196	4.227501e+01	2.099438e+04	4.404495e+04	2.719467e+03	-2.396587e+01	-1.118458e+02	2.008553e+01	1.586590e+00	1.992468e+02	1.008265e+01
1000197	4.238022e+01	2.099262e+04	4.403385e+04	2.720879e+03	-2.393036e+01	-1.116045e+02	2.090316e+01	1.553150e+00	1.992390e+02	1.050669e+01
1000198	4.248477e+01	2.098998e+04	4.402164e+04	2.722373e+03	-2.388675e+01	-1.113530e+02	2.172059e+01	1.477890e+00	1.992286e+02	1.091419e+01
1000199	4.257988e+01	2.098822e+04	4.401165e+04	2.723791e+03	-2.384112e+01	-1.111193e+02	2.244913e+01	1.333540e+00	1.992190e+02	1.119234e+01
1000200	4.268398e+01	2.098557e+04	4.399944e+04	2.725429e+03	-2.378642e+01	-1.108715e+02	2.317934e+01	1.168350e+00	1.992098e+02	1.147837e+01
1000201	4.278746e+01	2.098292e+04	4.398835e+04	2.727130e+03	-2.372500e+01	-1.106247e+02	2.387760e+01	1.003820e+00	1.992055e+02	1.179223e+01
1000202	4.289253e+01	2.097938e+04	4.397725e+04	2.728942e+03	-2.365578e+01	-1.103716e+02	2.456673e+01	8.462500e-01	1.992075e+02	1.211948e+01
1000203	4.298883e+01	2.097762e+04	4.396615e+04	2.730675e+03	-2.358699e+01	-1.101360e+02	2.518567e+01	7.235600e-01	1.992146e+02	1.242393e+01
1000204	4.308335e+01	2.097587e+04	4.395617e+04	2.732435e+03	-2.351517e+01	-1.099007e+02	2.578322e+01	6.057500e-01	1.992235e+02	1.272433e+01
1000205	4.318747e+01	2.097322e+04	4.394507e+04	2.734453e+03	-2.343082e+01	-1.096370e+02	2.643064e+01	4.817200e-01	1.992350e+02	1.305724e+01
1000206	4.329123e+01	2.097057e+04	4.393287e+04	2.736549e+03	-2.334202e+01	-1.093689e+02	2.706595e+01	3.978000e-01	1.992467e+02	1.340880e+01
1000207	4.339679e+01	2.096793e+04	4.392177e+04	2.738752e+03	-2.324603e+01	-1.090863e+02	2.771799e+01	3.468900e-01	1.992584e+02	1.377131e+01
1000208	4.350105e+01	2.096528e+04	4.391068e+04	2.741006e+03	-2.314677e+01	-1.087956e+02	2.837448e+01	3.565900e-01	1.992671e+02	1.403796e+01
1000209	4.360550e+01	2.096263e+04	4.389848e+04	2.743347e+03	-2.305156e+01	-1.085199e+02	2.894948e+01	3.377700e-01	1.992733e+02	1.416656e+01
1000210	4.371196e+01	2.096088e+04	4.388739e+04	2.745799e+03	-2.295846e+01	-1.082526e+02	2.946498e+01	2.688000e-01	1.992787e+02	1.433612e+01
1000211	4.381725e+01	2.095823e+04	4.387629e+04	2.748303e+03	-2.286517e+01	-1.079918e+02	2.994469e+01	1.740000e-01	1.992836e+02	1.452815e+01
1000212	4.391464e+01	2.095648e+04	4.386631e+04	2.750681e+03	-2.277745e+01	-1.077533e+02	3.036409e+01	6.574000e-02	1.992881e+02	1.470011e+01
1000213	4.402031e+01	2.095384e+04	4.385411e+04	2.753340e+03	-2.267993e+01	-1.074975e+02	3.079459e+01	-7.212000e-02	1.992928e+02	1.488356e+01
