	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000274	5.970402e+01	2.099620e+04	4.310470e+04	2.577927e+03	-1.868066e+01	-1.264476e+02	2.052966e+01	1.096790e+00	1.945556e+02	1.132591e+01
1000275	5.981027e+01	2.099444e+04	4.309137e+04	2.578284e+03	-1.858117e+01	-1.258517e+02	2.268295e+01	1.082460e+00	1.946231e+02	1.234166e+01
1000276	5.990659e+01	2.099268e+04	4.307916e+04	2.578784e+03	-1.848054e+01	-1.252693e+02	2.461757e+01	1.070810e+00	1.946786e+02	1.325996e+01
1000277	6.000493e+01	2.099003e+04	4.306695e+04	2.579472e+03	-1.836643e+01	-1.246338e+02	2.657562e+01	1.040250e+00	1.947275e+02	1.419458e+01
1000278	6.009972e+01	2.098917e+04	4.305585e+04	2.580292e+03	-1.824337e+01	-1.239835e+02	2.844458e+01	9.257000e-01	1.947678e+02	1.509169e+01
1000279	6.019479e+01	2.098742e+04	4.304364e+04	2.581296e+03	-1.810467e+01	-1.232965e+02	3.029779e+01	7.720500e-01	1.947996e+02	1.598964e+01
1000280	6.029376e+01	2.098477e+04	4.303143e+04	2.582526e+03	-1.793994e+01	-1.225480e+02	3.219892e+01	5.195600e-01	1.948242e+02	1.692341e+01
1000281	6.038888e+01	2.098390e+04	4.302033e+04	2.583872e+03	-1.775780e+01	-1.217938e+02	3.400663e+01	1.315600e-01	1.948418e+02	1.780875e+01
1000282	6.048535e+01	2.098126e+04	4.300812e+04	2.585428e+03	-1.754539e+01	-1.209987e+02	3.581031e+01	-2.807600e-01	1.948490e+02	1.870069e+01
1000283	6.058310e+01	2.098040e+04	4.299703e+04	2.587173e+03	-1.729900e+01	-1.201650e+02	3.760590e+01	-8.071800e-01	1.948470e+02	1.958499e+01
1000284	6.067892e+01	2.097864e+04	4.298482e+04	2.589074e+03	-1.702526e+01	-1.193241e+02	3.932822e+01	-1.413640e+00	1.948348e+02	2.043631e+01
1000285	6.077457e+01	2.097689e+04	4.297373e+04	2.591140e+03	-1.671582e+01	-1.184654e+02	4.100874e+01	-2.136690e+00	1.948126e+02	2.124684e+01
1000286	6.087385e+01	2.097514e+04	4.296153e+04	2.593477e+03	-1.635737e+01	-1.175653e+02	4.268892e+01	-3.013480e+00	1.947771e+02	2.205578e+01
1000287	6.097241e+01	2.097339e+04	4.295044e+04	2.595975e+03	-1.595679e+01	-1.166621e+02	4.430567e+01	-4.010780e+00	1.947260e+02	2.284223e+01
1000288	6.106723e+01	2.097253e+04	4.293935e+04	2.598551e+03	-1.552940e+01	-1.157987e+02	4.578600e+01	-5.252310e+00	1.946666e+02	2.354594e+01
1000289	6.116562e+01	2.096988e+04	4.292826e+04	2.601407e+03	-1.503517e+01	-1.149083e+02	4.725504e+01	-6.699210e+00	1.945809e+02	2.429206e+01
1000290	6.126462e+01	2.096903e+04	4.291718e+04	2.604455e+03	-1.447906e+01	-1.140126e+02	4.868199e+01	-8.183120e+00	1.944601e+02	2.505195e+01
