	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000227	5.310575e+01	2.078681e+04	4.354747e+04	2.295766e+03	-4.106592e+01	-1.279049e+02	-3.449748e+01	3.646400e-01	2.039834e+02	-1.861216e+01
1000228	5.321570e+01	2.078147e+04	4.353300e+04	2.292265e+03	-4.117297e+01	-1.280471e+02	-3.472860e+01	3.608200e-01	2.039962e+02	-1.868861e+01
1000229	5.331496e+01	2.077792e+04	4.351965e+04	2.288905e+03	-4.127505e+01	-1.281824e+02	-3.494357e+01	3.574800e-01	2.040083e+02	-1.875903e+01
1000230	5.342713e+01	2.077258e+04	4.350518e+04	2.285271e+03	-4.138593e+01	-1.283295e+02	-3.517145e+01	3.543200e-01	2.040209e+02	-1.883338e+01
1000231	5.353417e+01	2.076902e+04	4.349182e+04	2.281771e+03	-4.149207e+01	-1.284710e+02	-3.538467e+01	3.520400e-01	2.040314e+02	-1.890233e+01
1000232	5.363844e+01	2.076368e+04	4.347846e+04	2.278159e+03	-4.160107e+01	-1.286162e+02	-3.559921e+01	3.501900e-01	2.040403e+02	-1.896720e+01
1000233	5.374544e+01	2.075923e+04	4.346399e+04	2.274619e+03	-4.170864e+01	-1.287604e+02	-3.580278e+01	3.485700e-01	2.040484e+02	-1.902510e+01
1000234	5.384946e+01	2.075478e+04	4.345064e+04	2.271149e+03	-4.181407e+01	-1.289023e+02	-3.599455e+01	3.470000e-01	2.040562e+02	-1.908041e+01
1000235	5.395888e+01	2.075034e+04	4.343617e+04	2.267323e+03	-4.192985e+01	-1.290584e+02	-3.619857e+01	3.452100e-01	2.040649e+02	-1.913903e+01
1000236	5.405774e+01	2.074589e+04	4.342281e+04	2.263731e+03	-4.203840e+01	-1.292049e+02	-3.638262e+01	3.434600e-01	2.040732e+02	-1.919158e+01
1000237	5.416094e+01	2.074055e+04	4.340834e+04	2.259966e+03	-4.215160e+01	-1.293589e+02	-3.657012e+01	3.414100e-01	2.040827e+02	-1.924628e+01
1000238	5.426767e+01	2.073610e+04	4.339387e+04	2.256056e+03	-4.226878e+01	-1.295189e+02	-3.675962e+01	3.391200e-01	2.040935e+02	-1.930174e+01
1000239	5.437198e+01	2.073254e+04	4.338051e+04	2.252454e+03	-4.237715e+01	-1.296668e+02	-3.692968e+01	3.370300e-01	2.041039e+02	-1.935091e+01
1000240	5.447231e+01	2.072810e+04	4.336716e+04	2.248964e+03	-4.248198e+01	-1.298098e+02	-3.708916e+01	3.353400e-01	2.041133e+02	-1.939554e+01
1000241	5.456830e+01	2.072364e+04	4.335491e+04	2.245604e+03	-4.258271e+01	-1.299475e+02	-3.723774e+01	3.341700e-01	2.041211e+02	-1.943579e+01
