	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000185	5.138689e+01	3.242499e+01	3.298379e+03	1.169667e+03	-8.415500e+00	-6.303185e+01	6.683700e-01	-4.180700e-01	1.776232e+02	2.342440e+00
1000186	5.148576e+01	3.152715e+01	3.291720e+03	1.169757e+03	-8.417670e+00	-6.298740e+01	5.885700e-01	-3.146200e-01	1.776004e+02	2.229800e+00
1000187	5.158080e+01	3.062932e+01	3.286170e+03	1.169844e+03	-8.420310e+00	-6.294606e+01	5.049800e-01	-2.556100e-01	1.775776e+02	2.126140e+00
1000188	5.168156e+01	2.973148e+01	3.279511e+03	1.169936e+03	-8.423090e+00	-6.290360e+01	4.141600e-01	-2.521000e-01	1.775548e+02	2.008040e+00
1000189	5.177608e+01	2.883364e+01	3.273962e+03	1.170021e+03	-8.425570e+00	-6.286543e+01	3.203900e-01	-2.933200e-01	1.775353e+02	1.869960e+00
1000190	5.187819e+01	2.793580e+01	3.267302e+03	1.170112e+03	-8.427410e+00	-6.282629e+01	2.071100e-01	-3.470400e-01	1.775163e+02	1.715230e+00
1000191	5.197115e+01	2.793582e+01	3.261753e+03	1.170191e+03	-8.428040e+00	-6.279240e+01	1.034000e-01	-4.013400e-01	1.775010e+02	1.544170e+00
1000192	5.206999e+01	2.614011e+01	3.256204e+03	1.170273e+03	-8.427900e+00	-6.275874e+01	-1.440000e-02	-4.557800e-01	1.774871e+02	1.256650e+00
1000193	5.216982e+01	2.524227e+01	3.249544e+03	1.170351e+03	-8.426860e+00	-6.272938e+01	-1.809500e-01	-5.080400e-01	1.774744e+02	8.760500e-01
1000194	5.226616e+01	2.524229e+01	3.243995e+03	1.170421e+03	-8.424660e+00	-6.270570e+01	-3.821800e-01	-5.925100e-01	1.774642e+02	4.948900e-01
1000195	5.237212e+01	2.344658e+01	3.236226e+03	1.170499e+03	-8.419500e+00	-6.268312e+01	-6.568700e-01	-8.091400e-01	1.774587e+02	-2.035000e-02
1000196	5.246983e+01	2.254874e+01	3.229567e+03	1.170556e+03	-8.412920e+00	-6.266936e+01	-9.376300e-01	-1.101070e+00	1.774610e+02	-5.133700e-01
1000197	5.257051e+01	2.254875e+01	3.224017e+03	1.170606e+03	-8.402440e+00	-6.264754e+01	-1.277120e+00	-1.559160e+00	1.774722e+02	-1.022870e+00
1000198	5.267696e+01	2.165090e+01	3.216248e+03	1.170648e+03	-8.386650e+00	-6.260203e+01	-1.693970e+00	-2.402730e+00	1.775018e+02	-1.567780e+00
1000199	5.277177e+01	1.985519e+01	3.210699e+03	1.170670e+03	-8.368360e+00	-6.256554e+01	-2.069670e+00	-3.219710e+00	1.775367e+02	-2.002040e+00
1000200	5.288197e+01	1.895733e+01	3.204040e+03	1.170678e+03	-8.334260e+00	-6.252139e+01	-2.582390e+00	-4.498730e+00	1.775909e+02	-2.449480e+00
1000201	5.298091e+01	1.895735e+01	3.197380e+03	1.170666e+03	-8.295960e+00	-6.248713e+01	-2.989790e+00	-5.820100e+00	1.776454e+02	-2.732730e+00
1000202	5.307695e+01	1.805949e+01	3.191831e+03	1.170636e+03	-8.247110e+00	-6.245537e+01	-3.374720e+00	-7.109260e+00	1.777039e+02	-3.004200e+00
1000203	5.317296e+01	1.626377e+01	3.185172e+03	1.170584e+03	-8.187330e+00	-6.242424e+01	-3.758570e+00	-8.396250e+00	1.777653e+02	-3.280590e+00
1000204	5.327107e+01	1.626378e+01	3.179622e+03	1.170508e+03	-8.115160e+00	-6.239250e+01	-4.151260e+00	-9.709600e+00	1.778269e+02	-3.563060e+00
1000205	5.336952e+01	1.536592e+01	3.172963e+03	1.170406e+03	-8.031650e+00	-6.236113e+01	-4.545780e+00	-1.102425e+01	1.778835e+02	-3.844520e+00
1000206	5.346501e+01	1.446806e+01	3.167413e+03	1.170280e+03	-7.940030e+00	-6.233174e+01	-4.929790e+00	-1.229712e+01	1.779299e+02	-4.115790e+00
1000207	5.355992e+01	1.357019e+01	3.160754e+03	1.170129e+03	-7.838660e+00	-6.230370e+01	-5.312880e+00	-1.355929e+01	1.779648e+02	-4.384770e+00
1000208	5.365962e+01	1.357020e+01	3.155204e+03	1.169939e+03	-7.721320e+00	-6.227529e+01	-5.718010e+00	-1.488205e+01	1.779859e+02	-4.667180e+00
1000209	5.375920e+01	1.267234e+01	3.148545e+03	1.169718e+03	-7.593180e+00	-6.224796e+01	-6.126330e+00	-1.619941e+01	1.779875e+02	-4.947790e+00
1000210	5.385469e+01	1.177447e+01	3.142996e+03	1.169475e+03	-7.462050e+00	-6.222209e+01	-6.531010e+00	-1.747820e+01	1.779589e+02	-5.182860e+00
1000211	5.395055e+01	1.087661e+01	3.137446e+03	1.169200e+03	-7.314860e+00	-6.219771e+01	-6.924450e+00	-1.884517e+01	1.778921e+02	-5.361100e+00
1000212	5.405919e+01	9.978741e+00	3.129677e+03	1.168816e+03	-7.116260e+00	-6.216989e+01	-7.389320e+00	-2.040667e+01	1.777665e+02	-5.561240e+00
1000213	5.415941e+01	9.080871e+00	3.124127e+03	1.168451e+03	-6.945270e+00	-6.214633e+01	-7.792920e+00	-2.083189e+01	1.775421e+02	-5.584050e+00
1000214	5.425688e+01	8.183002e+00	3.117468e+03	1.168060e+03	-6.730010e+00	-6.212825e+01	-8.096760e+00	-2.077916e+01	1.772642e+02	-5.581320e+00
1000215	5.434987e+01	7.285130e+00	3.111918e+03	1.167655e+03	-6.512610e+00	-6.211258e+01	-8.355680e+00	-2.082657e+01	1.769911e+02	-5.637290e+00
1000216	5.444807e+01	7.285134e+00	3.106368e+03	1.167191e+03	-6.274380e+00	-6.209728e+01	-8.610310e+00	-2.088165e+01	1.766833e+02	-5.732870e+00
1000217	5.453703e+01	7.285138e+00	3.099709e+03	1.166690e+03	-6.028700e+00	-6.208330e+01	-8.847250e+00	-2.093597e+01	1.763549e+02	-5.853810e+00
1000218	5.463722e+01	6.387265e+00	3.093049e+03	1.166146e+03	-5.768320e+00	-6.207008e+01	-9.076580e+00	-2.099142e+01	1.759976e+02	-5.999650e+00
1000219	5.473463e+01	5.489390e+00	3.087500e+03	1.165582e+03	-5.508080e+00	-6.205807e+01	-9.289760e+00	-2.104550e+01	1.756327e+02	-6.159380e+00
1000220	5.483965e+01	4.591514e+00	3.080840e+03	1.164907e+03	-5.207810e+00	-6.204520e+01	-9.521770e+00	-2.110705e+01	1.752048e+02	-6.355590e+00
1000221	5.494939e+01	4.591517e+00	3.073071e+03	1.164132e+03	-4.876440e+00	-6.203191e+01	-9.764690e+00	-2.117481e+01	1.747296e+02	-6.581230e+00
1000222	5.505956e+01	3.693640e+00	3.066411e+03	1.163332e+03	-4.544360e+00	-6.201928e+01	-9.997850e+00	-2.124328e+01	1.742566e+02	-6.811400e+00
1000223	5.514903e+01	3.693641e+00	3.059751e+03	1.162643e+03	-4.266380e+00	-6.200889e+01	-1.018914e+01	-2.130152e+01	1.738649e+02	-7.000490e+00
1000224	5.523735e+01	2.795762e+00	3.054202e+03	1.161927e+03	-3.983490e+00	-6.199865e+01	-1.037638e+01	-2.136133e+01	1.734730e+02	-7.178280e+00
1000225	5.532622e+01	2.795763e+00	3.048652e+03	1.161183e+03	-3.694210e+00	-6.198822e+01	-1.056158e+01	-2.142381e+01	1.730837e+02	-7.347530e+00
1000226	5.541515e+01	1.897882e+00	3.043102e+03	1.160415e+03	-3.399510e+00	-6.197783e+01	-1.074045e+01	-2.148875e+01	1.727056e+02	-7.510920e+00
1000227	5.551521e+01	1.897882e+00	3.036442e+03	1.159589e+03	-3.085650e+00	-6.196670e+01	-1.092539e+01	-2.156021e+01	1.723253e+02	-7.679140e+00
1000228	5.560521e+01	1.897883e+00	3.030893e+03	1.158763e+03	-2.779740e+00	-6.195580e+01	-1.110073e+01	-2.163243e+01	1.719778e+02	-7.833860e+00
1000229	5.570760e+01	1.897883e+00	3.024233e+03	1.157867e+03	-2.451640e+00	-6.194333e+01	-1.128626e+01	-2.171380e+01	1.716278e+02	-7.983920e+00
