	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000192	5.516618e+01	8.180811e+01	3.197365e+03	1.174869e+03	-1.517803e+01	-6.578229e+01	6.277900e-01	6.281800e-01	1.827465e+02	2.090250e+00
1000193	5.526567e+01	8.001244e+01	3.190705e+03	1.174941e+03	-1.518919e+01	-6.576081e+01	6.043700e-01	6.938300e-01	1.827473e+02	2.064250e+00
1000194	5.536119e+01	7.821676e+01	3.184046e+03	1.175013e+03	-1.520078e+01	-6.574051e+01	5.804300e-01	7.569900e-01	1.827505e+02	2.039740e+00
1000195	5.545613e+01	7.731894e+01	3.178497e+03	1.175085e+03	-1.521321e+01	-6.572070e+01	5.554000e-01	8.197400e-01	1.827562e+02	2.015520e+00
1000196	5.555461e+01	7.552326e+01	3.171837e+03	1.175160e+03	-1.522707e+01	-6.570051e+01	5.283500e-01	8.841700e-01	1.827650e+02	1.990380e+00
1000197	5.565428e+01	7.462545e+01	3.165178e+03	1.175237e+03	-1.524211e+01	-6.567999e+01	4.999600e-01	9.470700e-01	1.827769e+02	1.964860e+00
1000198	5.575005e+01	7.282975e+01	3.159629e+03	1.175311e+03	-1.525690e+01	-6.565918e+01	4.716700e-01	9.841400e-01	1.827918e+02	1.940300e+00
1000199	5.585918e+01	7.103407e+01	3.151860e+03	1.175399e+03	-1.527429e+01	-6.563184e+01	4.356700e-01	9.371500e-01	1.828162e+02	1.910620e+00
1000200	5.597719e+01	6.923840e+01	3.142981e+03	1.175498e+03	-1.529342e+01	-6.559546e+01	3.953700e-01	8.254100e-01	1.828520e+02	1.871780e+00
1000201	5.607704e+01	6.744270e+01	3.136321e+03	1.175573e+03	-1.530679e+01	-6.556360e+01	3.656900e-01	7.349700e-01	1.828837e+02	1.825960e+00
1000202	5.617238e+01	6.654487e+01	3.130772e+03	1.175643e+03	-1.531816e+01	-6.553106e+01	3.269600e-01	6.393500e-01	1.829167e+02	1.761100e+00
1000203	5.626830e+01	6.474917e+01	3.124113e+03	1.175712e+03	-1.532831e+01	-6.549659e+01	2.826400e-01	5.283900e-01	1.829526e+02	1.690700e+00
1000204	5.635402e+01	6.385133e+01	3.118563e+03	1.175773e+03	-1.533622e+01	-6.546495e+01	2.378600e-01	4.215000e-01	1.829864e+02	1.614390e+00
1000205	5.645396e+01	6.115775e+01	3.111904e+03	1.175841e+03	-1.534366e+01	-6.542754e+01	1.834500e-01	2.730500e-01	1.830275e+02	1.495850e+00
1000206	5.655040e+01	6.025991e+01	3.106355e+03	1.175905e+03	-1.534884e+01	-6.539098e+01	1.385200e-01	1.014700e-01	1.830676e+02	1.223410e+00
1000207	5.664507e+01	5.846420e+01	3.099696e+03	1.175966e+03	-1.535096e+01	-6.535858e+01	2.483000e-02	-1.704200e-01	1.831078e+02	7.426400e-01
1000208	5.674330e+01	5.756637e+01	3.093036e+03	1.176026e+03	-1.534913e+01	-6.533051e+01	-1.939200e-01	-6.191200e-01	1.831524e+02	2.257600e-01
1000209	5.684471e+01	5.577065e+01	3.086377e+03	1.176084e+03	-1.534045e+01	-6.530550e+01	-4.723400e-01	-1.415750e+00	1.832076e+02	-2.474400e-01
1000210	5.695094e+01	5.397494e+01	3.079718e+03	1.176141e+03	-1.532390e+01	-6.528230e+01	-8.093200e-01	-2.506470e+00	1.832783e+02	-7.452800e-01
1000211	5.704613e+01	5.217921e+01	3.073059e+03	1.176184e+03	-1.530159e+01	-6.526641e+01	-1.128040e+00	-3.453470e+00	1.833416e+02	-1.145650e+00
1000212	5.715596e+01	5.038349e+01	3.066399e+03	1.176225e+03	-1.526455e+01	-6.525246e+01	-1.538300e+00	-4.603540e+00	1.834181e+02	-1.598030e+00
1000213	5.725572e+01	4.948565e+01	3.059740e+03	1.176249e+03	-1.522273e+01	-6.524518e+01	-1.926310e+00	-5.703970e+00	1.834838e+02	-1.951020e+00
1000214	5.734978e+01	4.768992e+01	3.053081e+03	1.176259e+03	-1.517446e+01	-6.524224e+01	-2.290350e+00	-6.934800e+00	1.835434e+02	-2.212650e+00
1000215	5.744762e+01	4.679207e+01	3.046421e+03	1.176255e+03	-1.511280e+01	-6.524288e+01	-2.658760e+00	-8.237610e+00	1.836024e+02	-2.471600e+00
1000216	5.754411e+01	4.499633e+01	3.040872e+03	1.176233e+03	-1.503970e+01	-6.522575e+01	-3.022510e+00	-9.521140e+00	1.836562e+02	-2.731510e+00
1000217	5.764345e+01	4.320059e+01	3.034213e+03	1.176192e+03	-1.495272e+01	-6.519233e+01	-3.401950e+00	-1.084067e+01	1.837049e+02	-3.007070e+00
1000218	5.773933e+01	4.140485e+01	3.027553e+03	1.176131e+03	-1.485822e+01	-6.516118e+01	-3.772830e+00	-1.211214e+01	1.837411e+02	-3.272180e+00
1000219	5.783382e+01	4.050699e+01	3.022004e+03	1.176049e+03	-1.475441e+01	-6.513266e+01	-4.131770e+00	-1.329444e+01	1.837652e+02	-3.547100e+00
1000220	5.793233e+01	3.871125e+01	3.015345e+03	1.175939e+03	-1.463783e+01	-6.510461e+01	-4.519180e+00	-1.437412e+01	1.837766e+02	-3.867870e+00
