	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000195	4.204642e+01	2.093134e+04	4.391770e+04	2.482807e+03	-3.436213e+01	-1.313142e+02	-1.754234e+01	1.225710e+00	2.004019e+02	-1.090497e+01
1000196	4.214159e+01	2.092779e+04	4.390547e+04	2.481224e+03	-3.444488e+01	-1.314626e+02	-1.758938e+01	1.311770e+00	2.004108e+02	-1.091525e+01
1000197	4.224625e+01	2.092424e+04	4.389101e+04	2.479484e+03	-3.453740e+01	-1.316245e+02	-1.763722e+01	1.406600e+00	2.004229e+02	-1.092509e+01
1000198	4.235095e+01	2.092069e+04	4.387767e+04	2.477730e+03	-3.463193e+01	-1.317853e+02	-1.768154e+01	1.501830e+00	2.004360e+02	-1.093337e+01
1000199	4.244530e+01	2.091714e+04	4.386544e+04	2.476145e+03	-3.471893e+01	-1.319291e+02	-1.771808e+01	1.588070e+00	2.004478e+02	-1.093921e+01
1000200	4.254866e+01	2.091359e+04	4.385209e+04	2.474403e+03	-3.481615e+01	-1.320858e+02	-1.775482e+01	1.683110e+00	2.004597e+02	-1.094408e+01
1000201	4.264392e+01	2.091004e+04	4.383986e+04	2.472792e+03	-3.490713e+01	-1.322297e+02	-1.778596e+01	1.771060e+00	2.004695e+02	-1.094743e+01
1000202	4.273886e+01	2.090739e+04	4.382652e+04	2.471187e+03	-3.499950e+01	-1.323724e+02	-1.781389e+01	1.858980e+00	2.004781e+02	-1.094988e+01
1000203	4.284321e+01	2.090384e+04	4.381318e+04	2.469410e+03	-3.510234e+01	-1.325282e+02	-1.784166e+01	1.955880e+00	2.004861e+02	-1.095157e+01
1000204	4.294026e+01	2.089939e+04	4.379983e+04	2.467762e+03	-3.519833e+01	-1.326722e+02	-1.786485e+01	2.046040e+00	2.004926e+02	-1.095202e+01
1000205	4.304289e+01	2.089584e+04	4.378649e+04	2.466006e+03	-3.530054e+01	-1.328246e+02	-1.788757e+01	2.141070e+00	2.004995e+02	-1.095196e+01
1000206	4.314546e+01	2.089319e+04	4.377315e+04	2.464244e+03	-3.540450e+01	-1.329762e+02	-1.790769e+01	2.235690e+00	2.005068e+02	-1.095068e+01
1000207	4.323994e+01	2.088964e+04	4.376091e+04	2.462620e+03	-3.550180e+01	-1.331146e+02	-1.792289e+01	2.322170e+00	2.005139e+02	-1.094740e+01
1000208	4.334350e+01	2.088520e+04	4.374646e+04	2.460845e+03	-3.561023e+01	-1.332656e+02	-1.793556e+01	2.415650e+00	2.005221e+02	-1.094183e+01
1000209	4.344214e+01	2.088165e+04	4.373423e+04	2.459136e+03	-3.571513e+01	-1.334088e+02	-1.794451e+01	2.503190e+00	2.005306e+02	-1.093476e+01
1000210	4.354610e+01	2.087899e+04	4.371977e+04	2.457340e+03	-3.582686e+01	-1.335590e+02	-1.795133e+01	2.594740e+00	2.005419e+02	-1.092653e+01
1000211	4.364967e+01	2.087455e+04	4.370643e+04	2.455546e+03	-3.593953e+01	-1.337073e+02	-1.795502e+01	2.685100e+00	2.005566e+02	-1.091770e+01
1000212	4.374457e+01	2.087100e+04	4.369308e+04	2.453904e+03	-3.604385e+01	-1.338417e+02	-1.795507e+01	2.759970e+00	2.005738e+02	-1.090813e+01
1000213	4.384943e+01	2.086745e+04	4.367974e+04	2.452076e+03	-3.615881e+01	-1.339898e+02	-1.794620e+01	2.765620e+00	2.005986e+02	-1.090553e+01
1000214	4.394472e+01	2.086390e+04	4.366640e+04	2.450422e+03	-3.626225e+01	-1.341229e+02	-1.794372e+01	2.633430e+00	2.006267e+02	-1.092067e+01
1000215	4.404150e+01	2.086036e+04	4.365306e+04	2.448737e+03	-3.636546e+01	-1.342572e+02	-1.795148e+01	2.461230e+00	2.006575e+02	-1.093967e+01
1000216	4.413823e+01	2.085680e+04	4.364082e+04	2.447046e+03	-3.646602e+01	-1.343919e+02	-1.796488e+01	2.283250e+00	2.006895e+02	-1.094961e+01
1000217	4.423552e+01	2.085325e+04	4.362748e+04	2.445350e+03	-3.656461e+01	-1.345276e+02	-1.797897e+01	2.103320e+00	2.007223e+02	-1.095541e+01
1000218	4.433159e+01	2.084970e+04	4.361525e+04	2.443666e+03	-3.665981e+01	-1.346612e+02	-1.799273e+01	1.926330e+00	2.007539e+02	-1.095821e+01
1000219	4.443538e+01	2.084616e+04	4.360079e+04	2.441854e+03	-3.676043e+01	-1.348056e+02	-1.800597e+01	1.735880e+00	2.007865e+02	-1.095782e+01
1000220	4.453041e+01	2.084171e+04	4.358856e+04	2.440189e+03	-3.685060e+01	-1.349380e+02	-1.801521e+01	1.562300e+00	2.008140e+02	-1.095480e+01
1000221	4.463251e+01	2.083906e+04	4.357411e+04	2.438403e+03	-3.694443e+01	-1.350815e+02	-1.802275e+01	1.376590e+00	2.008404e+02	-1.094956e+01
