	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000060	3.023562e+01	2.593607e+04	7.390855e+03	5.343579e+03	-8.260706e+01	-1.400056e+01	6.258010e+00	-1.126080e+00	2.612191e+02	4.606750e+00
1000061	3.032458e+01	2.592890e+04	7.389726e+03	5.345940e+03	-8.255478e+01	-1.401449e+01	6.538200e+00	-1.362680e+00	2.611641e+02	4.837550e+00
1000062	3.041334e+01	2.592172e+04	7.388596e+03	5.348027e+03	-8.249800e+01	-1.403309e+01	6.828280e+00	-1.598740e+00	2.611126e+02	5.093400e+00
1000063	3.052473e+01	2.591276e+04	7.387461e+03	5.350333e+03	-8.241838e+01	-1.406194e+01	7.210910e+00	-1.857910e+00	2.610499e+02	5.503650e+00
1000064	3.060917e+01	2.590558e+04	7.386331e+03	5.351886e+03	-8.234657e+01	-1.408815e+01	7.548470e+00	-2.012400e+00	2.610027e+02	5.882460e+00
1000065	3.071382e+01	2.589662e+04	7.384085e+03	5.353624e+03	-8.224281e+01	-1.412537e+01	8.022140e+00	-2.184360e+00	2.609493e+02	6.322810e+00
1000066	3.080293e+01	2.588944e+04	7.382955e+03	5.354958e+03	-8.214444e+01	-1.415998e+01	8.446860e+00	-2.329370e+00	2.609084e+02	6.663920e+00
1000067	3.090640e+01	2.588047e+04	7.381819e+03	5.356381e+03	-8.202058e+01	-1.420280e+01	8.955680e+00	-2.492840e+00	2.608648e+02	7.015990e+00
1000068	3.099813e+01	2.587329e+04	7.380688e+03	5.357542e+03	-8.190391e+01	-1.424256e+01	9.411570e+00	-2.589010e+00	2.608270e+02	7.277680e+00
1000069	3.110240e+01	2.586522e+04	7.379555e+03	5.358780e+03	-8.176665e+01	-1.428908e+01	9.914770e+00	-2.681180e+00	2.607830e+02	7.548130e+00
1000070	3.120254e+01	2.585715e+04	7.377311e+03	5.359907e+03	-8.162897e+01	-1.433494e+01	1.039551e+01	-2.771440e+00	2.607383e+02	7.804880e+00
1000071	3.131051e+01	2.584817e+04	7.376175e+03	5.361068e+03	-8.147555e+01	-1.438562e+01	1.090553e+01	-2.875020e+00	2.606891e+02	8.034460e+00
1000072	3.141394e+01	2.584010e+04	7.375041e+03	5.362150e+03	-8.132639e+01	-1.443476e+01	1.136889e+01	-2.975840e+00	2.606368e+02	8.255720e+00
1000073	3.151339e+01	2.583203e+04	7.372797e+03	5.363171e+03	-8.117774e+01	-1.448331e+01	1.180622e+01	-3.067460e+00	2.605812e+02	8.482120e+00
1000074	3.160592e+01	2.582395e+04	7.371664e+03	5.364117e+03	-8.103410e+01	-1.452956e+01	1.220673e+01	-3.151160e+00	2.605258e+02	8.696210e+00
1000075	3.169827e+01	2.581678e+04	7.370533e+03	5.365057e+03	-8.088516e+01	-1.457669e+01	1.260038e+01	-3.234630e+00	2.604676e+02	8.912090e+00
1000076	3.180247e+01	2.580870e+04	7.369399e+03	5.366130e+03	-8.071004e+01	-1.463100e+01	1.303797e+01	-3.325180e+00	2.603997e+02	9.157570e+00
1000077	3.190254e+01	2.579973e+04	7.367152e+03	5.367177e+03	-8.053467e+01	-1.468439e+01	1.345206e+01	-3.408470e+00	2.603340e+02	9.393870e+00
1000078	3.199462e+01	2.579255e+04	7.366022e+03	5.368152e+03	-8.036692e+01	-1.473430e+01	1.382809e+01	-3.484370e+00	2.602742e+02	9.610900e+00
1000079	3.208761e+01	2.578538e+04	7.364891e+03	5.369152e+03	-8.019138e+01	-1.478532e+01	1.420276e+01	-3.560130e+00	2.602156e+02	9.827460e+00
1000080	3.219155e+01	2.577640e+04	7.363755e+03	5.370303e+03	-7.998802e+01	-1.484296e+01	1.461436e+01	-3.644350e+00	2.601533e+02	1.006545e+01
1000081	3.229130e+01	2.576833e+04	7.361511e+03	5.371435e+03	-7.978262e+01	-1.489897e+01	1.501244e+01	-3.724250e+00	2.600974e+02	1.029119e+01
1000082	3.236938e+01	2.576205e+04	7.360383e+03	5.372344e+03	-7.961214e+01	-1.494345e+01	1.533555e+01	-3.786570e+00	2.600565e+02	1.046999e+01
1000083	3.246936e+01	2.575398e+04	7.359249e+03	5.373532e+03	-7.938767e+01	-1.500098e+01	1.574329e+01	-3.879550e+00	2.600106e+02	1.067540e+01
1000084	3.256802e+01	2.574680e+04	7.358119e+03	5.374737e+03	-7.916338e+01	-1.505762e+01	1.612169e+01	-3.996450e+00	2.599724e+02	1.086030e+01
1000085	3.266923e+01	2.573873e+04	7.356986e+03	5.376008e+03	-7.892920e+01	-1.511611e+01	1.649233e+01	-4.116880e+00	2.599380e+02	1.106139e+01
1000086	3.276934e+01	2.573066e+04	7.354742e+03	5.377302e+03	-7.869257e+01	-1.517429e+01	1.684525e+01	-4.229710e+00	2.599070e+02	1.129172e+01
1000087	3.286767e+01	2.572259e+04	7.353609e+03	5.378609e+03	-7.845208e+01	-1.523210e+01	1.719357e+01	-4.335590e+00	2.598810e+02	1.152680e+01
1000088	3.296961e+01	2.571541e+04	7.351368e+03	5.380000e+03	-7.819639e+01	-1.529035e+01	1.754034e+01	-4.394120e+00	2.598558e+02	1.178878e+01
1000089	3.306947e+01	2.570734e+04	7.350235e+03	5.381400e+03	-7.793539e+01	-1.534378e+01	1.787943e+01	-4.289500e+00	2.598253e+02	1.210417e+01
1000090	3.317720e+01	2.569837e+04	7.349099e+03	5.382950e+03	-7.763617e+01	-1.539537e+01	1.826794e+01	-3.979210e+00	2.597867e+02	1.247560e+01
1000091	3.328039e+01	2.569030e+04	7.346856e+03	5.384478e+03	-7.733392e+01	-1.543539e+01	1.865607e+01	-3.591150e+00	2.597493e+02	1.282531e+01
1000092	3.338774e+01	2.568223e+04	7.345723e+03	5.386100e+03	-7.700593e+01	-1.546490e+01	1.906820e+01	-3.159630e+00	2.597126e+02	1.317185e+01
1000093	3.350285e+01	2.567326e+04	7.343478e+03	5.387895e+03	-7.664157e+01	-1.548201e+01	1.951043e+01	-2.694900e+00	2.596779e+02	1.352241e+01
1000094	3.360256e+01	2.566608e+04	7.342348e+03	5.389485e+03	-7.631696e+01	-1.548472e+01	1.989004e+01	-2.291520e+00	2.596529e+02	1.381316e+01
1000095	3.369487e+01	2.565891e+04	7.341217e+03	5.390991e+03	-7.600946e+01	-1.547907e+01	2.023605e+01	-1.970750e+00	2.596368e+02	1.407273e+01
1000096	3.378819e+01	2.565174e+04	7.338977e+03	5.392547e+03	-7.569378e+01	-1.546695e+01	2.056913e+01	-1.875360e+00	2.596331e+02	1.436639e+01
1000097	3.389140e+01	2.564367e+04	7.337844e+03	5.394308e+03	-7.532864e+01	-1.544668e+01	2.095699e+01	-1.823320e+00	2.596409e+02	1.472054e+01
1000098	3.399144e+01	2.563649e+04	7.336714e+03	5.396050e+03	-7.496313e+01	-1.542287e+01	2.133320e+01	-1.740310e+00	2.596586e+02	1.505127e+01
1000099	3.408476e+01	2.562932e+04	7.334474e+03	5.397709e+03	-7.461602e+01	-1.539535e+01	2.166931e+01	-1.607710e+00	2.596810e+02	1.539717e+01
1000100	3.417832e+01	2.562304e+04	7.333346e+03	5.399400e+03	-7.425240e+01	-1.536128e+01	2.202391e+01	-1.382900e+00	2.597063e+02	1.580690e+01
1000101	3.428024e+01	2.561497e+04	7.332214e+03	5.401288e+03	-7.383652e+01	-1.531504e+01	2.243587e+01	-1.117720e+00	2.597410e+02	1.622500e+01
1000102	3.438031e+01	2.560780e+04	7.329974e+03	5.403175e+03	-7.341437e+01	-1.525956e+01	2.283718e+01	-8.494800e-01	2.597802e+02	1.660249e+01
1000103	3.447422e+01	2.560063e+04	7.328844e+03	5.404981e+03	-7.300488e+01	-1.519817e+01	2.321049e+01	-5.764400e-01	2.598198e+02	1.694193e+01
1000104	3.456868e+01	2.559435e+04	7.327717e+03	5.406826e+03	-7.258292e+01	-1.512778e+01	2.358088e+01	-2.963100e-01	2.598620e+02	1.726792e+01
1000105	3.466955e+01	2.558629e+04	7.325474e+03	5.408844e+03	-7.212312e+01	-1.504330e+01	2.396755e+01	4.180000e-03	2.599094e+02	1.760147e+01
