	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000154	4.679494e+01	2.107629e+04	4.442202e+04	2.630339e+03	-2.616414e+01	-1.121457e+02	-1.875412e+01	-1.694790e+00	2.004979e+02	-1.169474e+01
1000155	4.690999e+01	2.107274e+04	4.440867e+04	2.628114e+03	-2.621411e+01	-1.123586e+02	-1.873994e+01	-1.712940e+00	2.004618e+02	-1.166996e+01
1000156	4.701665e+01	2.107009e+04	4.439644e+04	2.626012e+03	-2.626101e+01	-1.125583e+02	-1.872368e+01	-1.674610e+00	2.004344e+02	-1.165057e+01
1000157	4.711028e+01	2.106743e+04	4.438532e+04	2.624312e+03	-2.629939e+01	-1.127198e+02	-1.871161e+01	-1.550410e+00	2.004153e+02	-1.164744e+01
1000158	4.721001e+01	2.106476e+04	4.437419e+04	2.622357e+03	-2.634457e+01	-1.129016e+02	-1.869953e+01	-1.400820e+00	2.003994e+02	-1.163820e+01
1000159	4.730270e+01	2.106210e+04	4.436307e+04	2.620572e+03	-2.638839e+01	-1.130671e+02	-1.868665e+01	-1.264090e+00	2.003902e+02	-1.162414e+01
1000160	4.740466e+01	2.105855e+04	4.435084e+04	2.618628e+03	-2.643899e+01	-1.132461e+02	-1.867017e+01	-1.115300e+00	2.003854e+02	-1.160573e+01
1000161	4.751039e+01	2.105589e+04	4.433860e+04	2.616698e+03	-2.649213e+01	-1.134219e+02	-1.865100e+01	-9.678900e-01	2.003848e+02	-1.158475e+01
1000162	4.761011e+01	2.105323e+04	4.432748e+04	2.614869e+03	-2.654502e+01	-1.135862e+02	-1.862994e+01	-8.286500e-01	2.003869e+02	-1.156271e+01
1000163	4.771004e+01	2.105058e+04	4.431525e+04	2.612963e+03	-2.660309e+01	-1.137559e+02	-1.860469e+01	-6.829000e-01	2.003906e+02	-1.153769e+01
1000164	4.779985e+01	2.104791e+04	4.430524e+04	2.611229e+03	-2.665833e+01	-1.139085e+02	-1.857876e+01	-5.500600e-01	2.003940e+02	-1.151334e+01
1000165	4.788852e+01	2.104614e+04	4.429523e+04	2.609605e+03	-2.671241e+01	-1.140506e+02	-1.855169e+01	-4.246000e-01	2.003968e+02	-1.148908e+01
1000166	4.798012e+01	2.104348e+04	4.428411e+04	2.607935e+03	-2.677039e+01	-1.141961e+02	-1.852097e+01	-2.943700e-01	2.003984e+02	-1.146265e+01
1000167	4.808792e+01	2.104083e+04	4.427188e+04	2.605963e+03	-2.684124e+01	-1.143658e+02	-1.848124e+01	-1.403800e-01	2.003985e+02	-1.142986e+01
1000168	4.818056e+01	2.103817e+04	4.426075e+04	2.604121e+03	-2.690943e+01	-1.145219e+02	-1.844086e+01	3.200000e-03	2.003964e+02	-1.139773e+01
1000169	4.827405e+01	2.103551e+04	4.424963e+04	2.602416e+03	-2.697507e+01	-1.146663e+02	-1.840012e+01	1.376100e-01	2.003930e+02	-1.136639e+01
1000170	4.838844e+01	2.103195e+04	4.423629e+04	2.600139e+03	-2.706492e+01	-1.148561e+02	-1.834164e+01	3.160800e-01	2.003865e+02	-1.132275e+01
1000171	4.847731e+01	2.102929e+04	4.422516e+04	2.598432e+03	-2.713474e+01	-1.149978e+02	-1.829413e+01	4.506900e-01	2.003808e+02	-1.128827e+01
