	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000174	2.136347e+02	2.047884e+04	4.166916e+04	2.432715e+03	-2.882061e+01	-1.198171e+02	-1.196521e+01	2.852450e+00	1.981346e+02	-1.179787e+01
1000175	2.137346e+02	2.047176e+04	4.163916e+04	2.431213e+03	-2.880881e+01	-1.199237e+02	-1.317700e+01	3	1.983342e+02	-1.243610e+01
1000176	2.138363e+02	2.046378e+04	4.160805e+04	2.429571e+03	-2.880268e+01	-1.200241e+02	-1.443066e+01	3.015400e+00	1.985943e+02	-1.306679e+01
1000177	2.139363e+02	2.045669e+04	4.157915e+04	2.427803e+03	-2.880378e+01	-1.201122e+02	-1.569111e+01	2.226360e+00	1.989090e+02	-1.361237e+01
1000178	2.140358e+02	2.044960e+04	4.154915e+04	2.425896e+03	-2.883906e+01	-1.201937e+02	-1.689133e+01	8.260000e-01	1.992368e+02	-1.412709e+01
1000179	2.141313e+02	2.044251e+04	4.152025e+04	2.423903e+03	-2.889349e+01	-1.202658e+02	-1.802191e+01	-7.055000e-02	1.994973e+02	-1.463798e+01
1000180	2.142322e+02	2.043542e+04	4.149024e+04	2.421606e+03	-2.895307e+01	-1.203326e+02	-1.924577e+01	-6.659400e-01	1.996970e+02	-1.509477e+01
1000181	2.143317e+02	2.042833e+04	4.146023e+04	2.419143e+03	-2.902242e+01	-1.204009e+02	-2.039813e+01	-1.442540e+00	1.998065e+02	-1.506988e+01
1000182	2.144332e+02	2.042124e+04	4.142911e+04	2.416409e+03	-2.910845e+01	-1.205241e+02	-2.124234e+01	-1.841790e+00	1.997969e+02	-1.474108e+01
1000183	2.145313e+02	2.041326e+04	4.140021e+04	2.413541e+03	-2.918468e+01	-1.206887e+02	-2.181520e+01	-1.935420e+00	1.996986e+02	-1.452817e+01
1000184	2.146311e+02	2.040616e+04	4.137020e+04	2.410395e+03	-2.925521e+01	-1.208791e+02	-2.228061e+01	-1.985460e+00	1.995363e+02	-1.444545e+01
1000185	2.147351e+02	2.039818e+04	4.133796e+04	2.406884e+03	-2.932119e+01	-1.210937e+02	-2.268784e+01	-1.793540e+00	1.993117e+02	-1.443664e+01
1000186	2.148380e+02	2.039109e+04	4.130683e+04	2.403157e+03	-2.937391e+01	-1.213185e+02	-2.304342e+01	-1.441620e+00	1.990636e+02	-1.454094e+01
1000187	2.149347e+02	2.038399e+04	4.127792e+04	2.399444e+03	-2.941544e+01	-1.215317e+02	-2.338204e+01	-1.116350e+00	1.988360e+02	-1.469349e+01
1000188	2.150348e+02	2.037601e+04	4.124679e+04	2.395405e+03	-2.945173e+01	-1.217540e+02	-2.374644e+01	-7.950400e-01	1.986250e+02	-1.485356e+01
1000189	2.151340e+02	2.036980e+04	4.121678e+04	2.391197e+03	-2.948392e+01	-1.219756e+02	-2.410625e+01	-4.943100e-01	1.984569e+02	-1.499618e+01
1000190	2.152358e+02	2.036092e+04	4.118675e+04	2.386688e+03	-2.951550e+01	-1.222045e+02	-2.447154e+01	-2.042200e-01	1.983376e+02	-1.513586e+01
1000191	2.153377e+02	2.035383e+04	4.115451e+04	2.381997e+03	-2.954839e+01	-1.224343e+02	-2.483401e+01	6.956000e-02	1.982769e+02	-1.527310e+01
1000192	2.154408e+02	2.034673e+04	4.112337e+04	2.377063e+03	-2.958675e+01	-1.226671e+02	-2.519650e+01	3.333300e-01	1.982724e+02	-1.540858e+01
1000193	2.155433e+02	2.033874e+04	4.109223e+04	2.371991e+03	-2.963405e+01	-1.228983e+02	-2.555295e+01	5.872300e-01	1.983172e+02	-1.554019e+01
1000194	2.156478e+02	2.033075e+04	4.105999e+04	2.366662e+03	-2.969296e+01	-1.231321e+02	-2.590994e+01	8.429800e-01	1.984008e+02	-1.567191e+01
1000195	2.157469e+02	2.032366e+04	4.102885e+04	2.361459e+03	-2.975955e+01	-1.233517e+02	-2.624199e+01	1.082630e+00	1.985007e+02	-1.579474e+01
1000196	2.158483e+02	2.031566e+04	4.099771e+04	2.356005e+03	-2.983728e+01	-1.235751e+02	-2.656860e+01	1.200640e+00	1.986125e+02	-1.591684e+01
1000197	2.159469e+02	2.030856e+04	4.096768e+04	2.350573e+03	-2.992196e+01	-1.237903e+02	-2.688013e+01	1.157200e+00	1.987177e+02	-1.602943e+01
