	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000062	5.005672e+01	2.058319e+04	4.552832e+04	2.703648e+03	-2.211553e+01	-1.012305e+02	3.174170e+00	1.438370e+00	2.005718e+02	-2.119770e+00
1000063	5.015607e+01	2.058054e+04	4.551834e+04	2.705340e+03	-2.219402e+01	-1.013747e+02	2.539410e+00	1.472180e+00	2.005248e+02	-2.808290e+00
1000064	5.024800e+01	2.057878e+04	4.550835e+04	2.706730e+03	-2.226779e+01	-1.015169e+02	1.904620e+00	1.502810e+00	2.004630e+02	-3.367960e+00
1000065	5.035190e+01	2.057613e+04	4.549836e+04	2.708112e+03	-2.235053e+01	-1.016837e+02	1.145590e+00	1.536910e+00	2.003736e+02	-3.959730e+00
1000066	5.045114e+01	2.057437e+04	4.548837e+04	2.709275e+03	-2.242706e+01	-1.018471e+02	3.887300e-01	1.568900e+00	2.002715e+02	-4.497880e+00
1000067	5.054167e+01	2.057171e+04	4.547838e+04	2.710224e+03	-2.249378e+01	-1.019993e+02	-3.222700e-01	1.597190e+00	2.001680e+02	-4.975740e+00
1000068	5.065706e+01	2.056906e+04	4.546728e+04	2.711269e+03	-2.257500e+01	-1.021974e+02	-1.249510e+00	1.592330e+00	2.000291e+02	-5.589630e+00
1000069	5.075716e+01	2.056641e+04	4.545728e+04	2.712050e+03	-2.264140e+01	-1.023727e+02	-2.081200e+00	1.562370e+00	1.999082e+02	-6.119850e+00
1000070	5.085228e+01	2.056464e+04	4.544729e+04	2.712693e+03	-2.270135e+01	-1.025410e+02	-2.894260e+00	1.541030e+00	1.997982e+02	-6.595850e+00
1000071	5.094252e+01	2.056288e+04	4.543730e+04	2.713220e+03	-2.275755e+01	-1.027007e+02	-3.689220e+00	1.711520e+00	1.996988e+02	-6.932120e+00
1000072	5.104546e+01	2.056023e+04	4.542730e+04	2.713716e+03	-2.281900e+01	-1.028858e+02	-4.539000e+00	2.112510e+00	1.996002e+02	-7.122770e+00
1000073	5.114566e+01	2.055757e+04	4.541731e+04	2.714103e+03	-2.287940e+01	-1.030677e+02	-5.274160e+00	2.444530e+00	1.995299e+02	-7.220830e+00
1000074	5.125244e+01	2.055581e+04	4.540620e+04	2.714414e+03	-2.294545e+01	-1.032640e+02	-5.996610e+00	2.538090e+00	1.994959e+02	-7.132900e+00
1000075	5.134574e+01	2.055315e+04	4.539621e+04	2.714609e+03	-2.301278e+01	-1.034404e+02	-6.465320e+00	2.431980e+00	1.995053e+02	-6.824400e+00
1000076	5.144606e+01	2.055139e+04	4.538621e+04	2.714724e+03	-2.309333e+01	-1.036348e+02	-6.807090e+00	2.299990e+00	1.995346e+02	-6.590770e+00
1000077	5.153931e+01	2.054873e+04	4.537621e+04	2.714765e+03	-2.317023e+01	-1.038168e+02	-7.051020e+00	2.146830e+00	1.995748e+02	-6.482730e+00
1000078	5.163169e+01	2.054697e+04	4.536732e+04	2.714728e+03	-2.324675e+01	-1.039994e+02	-7.237680e+00	1.835760e+00	1.996260e+02	-6.516100e+00
1000079	5.173493e+01	2.054431e+04	4.535621e+04	2.714621e+03	-2.333010e+01	-1.042034e+02	-7.468450e+00	1.341440e+00	1.996893e+02	-6.763860e+00
1000080	5.182372e+01	2.054254e+04	4.534733e+04	2.714463e+03	-2.339762e+01	-1.043786e+02	-7.714320e+00	8.965700e-01	1.997468e+02	-6.977710e+00
1000081	5.192359e+01	2.053989e+04	4.533622e+04	2.714232e+03	-2.347005e+01	-1.045778e+02	-7.999020e+00	3.919000e-01	1.998119e+02	-7.175390e+00
1000082	5.201607e+01	2.053723e+04	4.532732e+04	2.713955e+03	-2.353382e+01	-1.047640e+02	-8.266040e+00	-7.407000e-02	1.998694e+02	-7.344850e+00
1000083	5.211237e+01	2.053546e+04	4.531733e+04	2.713616e+03	-2.359669e+01	-1.049598e+02	-8.549720e+00	-5.570300e-01	1.999233e+02	-7.505800e+00
1000084	5.220757e+01	2.053280e+04	4.530732e+04	2.713237e+03	-2.365510e+01	-1.051556e+02	-8.827330e+00	-1.031990e+00	1.999683e+02	-7.641860e+00
1000085	5.229721e+01	2.053104e+04	4.529732e+04	2.712839e+03	-2.370646e+01	-1.053414e+02	-9.092010e+00	-1.476630e+00	2.000009e+02	-7.734010e+00
1000086	5.241223e+01	2.052839e+04	4.528510e+04	2.712265e+03	-2.376836e+01	-1.055760e+02	-9.463280e+00	-1.947640e+00	2.000120e+02	-7.371940e+00
1000087	5.251271e+01	2.052573e+04	4.527510e+04	2.711712e+03	-2.381181e+01	-1.058054e+02	-9.467140e+00	-2.109090e+00	1.999910e+02	-6.632190e+00
1000088	5.260988e+01	2.052307e+04	4.526398e+04	2.711146e+03	-2.384594e+01	-1.060345e+02	-9.295270e+00	-2.252350e+00	1.999687e+02	-6.101600e+00
1000089	5.272367e+01	2.052041e+04	4.525287e+04	2.710423e+03	-2.387737e+01	-1.063008e+02	-8.998360e+00	-2.418960e+00	1.999264e+02	-5.490470e+00
1000090	5.282331e+01	2.051865e+04	4.524176e+04	2.709761e+03	-2.389387e+01	-1.065371e+02	-8.585140e+00	-2.563740e+00	1.998727e+02	-4.905560e+00
1000091	5.292366e+01	2.051599e+04	4.523175e+04	2.709062e+03	-2.389686e+01	-1.067688e+02	-8.100350e+00	-2.712040e+00	1.998050e+02	-4.155360e+00
1000092	5.302417e+01	2.051423e+04	4.522064e+04	2.708341e+03	-2.388035e+01	-1.069987e+02	-7.373170e+00	-2.863840e+00	1.997200e+02	-3.008870e+00
1000093	5.313263e+01	2.051157e+04	4.520842e+04	2.707551e+03	-2.383269e+01	-1.072377e+02	-6.253020e+00	-3.027750e+00	1.996394e+02	-1.838150e+00
1000094	5.323511e+01	2.050891e+04	4.519841e+04	2.706784e+03	-2.376495e+01	-1.074387e+02	-5.051730e+00	-3.183120e+00	1.995736e+02	-8.490600e-01
1000095	5.333457e+01	2.050625e+04	4.518730e+04	2.706053e+03	-2.367936e+01	-1.076062e+02	-3.803070e+00	-3.326110e+00	1.995092e+02	1.246500e-01
1000096	5.343419e+01	2.050360e+04	4.517618e+04	2.705337e+03	-2.357166e+01	-1.077415e+02	-2.463540e+00	-3.454180e+00	1.994325e+02	1.275010e+00
1000097	5.353472e+01	2.050183e+04	4.516618e+04	2.704624e+03	-2.343229e+01	-1.078388e+02	-9.321700e-01	-3.582380e+00	1.993435e+02	2.598970e+00
1000098	5.363462e+01	2.049917e+04	4.515507e+04	2.703963e+03	-2.326145e+01	-1.078881e+02	7.456800e-01	-3.705070e+00	1.992525e+02	3.892700e+00
