	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000075	5.208058e+01	2.044265e+04	4.528728e+04	2.735911e+03	-2.355603e+01	-9.885245e+01	2.458860e+00	-1.047820e+00	2.010367e+02	-3.675550e+00
1000076	5.217488e+01	2.044089e+04	4.527729e+04	2.736659e+03	-2.361429e+01	-9.902840e+01	1.633940e+00	-8.499900e-01	2.010704e+02	-4.157970e+00
1000077	5.226970e+01	2.043823e+04	4.526841e+04	2.737362e+03	-2.367410e+01	-9.920361e+01	8.167400e-01	-5.811700e-01	2.011018e+02	-4.597070e+00
1000078	5.237489e+01	2.043558e+04	4.525730e+04	2.738097e+03	-2.374426e+01	-9.939684e+01	-8.211000e-02	-2.696800e-01	2.011320e+02	-5.091000e+00
1000079	5.247831e+01	2.043292e+04	4.524731e+04	2.738754e+03	-2.382038e+01	-9.958291e+01	-1.001530e+00	2.044000e-01	2.011455e+02	-5.527110e+00
1000080	5.258250e+01	2.043027e+04	4.523731e+04	2.739350e+03	-2.389530e+01	-9.976886e+01	-1.943480e+00	1.116240e+00	2.011355e+02	-5.493850e+00
1000081	5.267747e+01	2.042851e+04	4.522732e+04	2.739839e+03	-2.396075e+01	-9.994120e+01	-2.575610e+00	1.315250e+00	2.011559e+02	-4.816860e+00
1000082	5.277293e+01	2.042585e+04	4.521843e+04	2.740263e+03	-2.404144e+01	-1.001122e+02	-2.860540e+00	1.180530e+00	2.011835e+02	-4.143030e+00
1000083	5.287010e+01	2.042409e+04	4.520844e+04	2.740638e+03	-2.412345e+01	-1.002834e+02	-3.005200e+00	1.036480e+00	2.011974e+02	-3.695530e+00
1000084	5.296882e+01	2.042053e+04	4.519844e+04	2.740959e+03	-2.420472e+01	-1.004554e+02	-3.050070e+00	8.905000e-01	2.011957e+02	-3.384570e+00
1000085	5.307060e+01	2.041877e+04	4.518845e+04	2.741215e+03	-2.428488e+01	-1.006312e+02	-3.042980e+00	7.400500e-01	2.011756e+02	-3.244470e+00
1000086	5.316871e+01	2.041611e+04	4.517845e+04	2.741408e+03	-2.435759e+01	-1.007999e+02	-3.031730e+00	5.935600e-01	2.011413e+02	-3.132690e+00
1000087	5.326741e+01	2.041435e+04	4.516845e+04	2.741546e+03	-2.442604e+01	-1.009694e+02	-2.985950e+00	4.447000e-01	2.010955e+02	-3.006380e+00
1000088	5.336656e+01	2.041169e+04	4.515845e+04	2.741635e+03	-2.448949e+01	-1.011393e+02	-2.915010e+00	2.932200e-01	2.010414e+02	-2.894360e+00
1000089	5.346760e+01	2.040904e+04	4.514846e+04	2.741679e+03	-2.454841e+01	-1.013123e+02	-2.824620e+00	1.364300e-01	2.009819e+02	-2.790050e+00
1000090	5.356825e+01	2.040638e+04	4.513846e+04	2.741682e+03	-2.460071e+01	-1.014839e+02	-2.734530e+00	-4.019000e-02	2.009228e+02	-2.632820e+00
1000091	5.367448e+01	2.040372e+04	4.512735e+04	2.741647e+03	-2.464930e+01	-1.016641e+02	-2.565020e+00	-2.209400e-01	2.008651e+02	-2.354120e+00
1000092	5.377687e+01	2.040107e+04	4.511735e+04	2.741578e+03	-2.468885e+01	-1.018356e+02	-2.348870e+00	-3.872900e-01	2.008175e+02	-2.123360e+00
1000093	5.387745e+01	2.039841e+04	4.510735e+04	2.741486e+03	-2.472137e+01	-1.020014e+02	-2.109760e+00	-5.524900e-01	2.007798e+02	-1.870990e+00
1000094	5.398073e+01	2.039575e+04	4.509624e+04	2.741375e+03	-2.474811e+01	-1.021679e+02	-1.827100e+00	-7.246500e-01	2.007516e+02	-1.568130e+00
1000095	5.408363e+01	2.039399e+04	4.508624e+04	2.741238e+03	-2.476492e+01	-1.023293e+02	-1.492940e+00	-9.618100e-01	2.007359e+02	-1.130160e+00
1000096	5.418828e+01	2.039133e+04	4.507513e+04	2.741098e+03	-2.476589e+01	-1.024879e+02	-1.051570e+00	-1.450890e+00	2.007457e+02	-5.311200e-01
1000097	5.428254e+01	2.038867e+04	4.506624e+04	2.740959e+03	-2.474894e+01	-1.026232e+02	-5.474400e-01	-2.165730e+00	2.007785e+02	1.112000e-01
1000098	5.438579e+01	2.038691e+04	4.505513e+04	2.740812e+03	-2.470155e+01	-1.027608e+02	1.587300e-01	-3.071400e+00	2.008283e+02	9.283700e-01
1000099	5.449281e+01	2.038336e+04	4.504402e+04	2.740669e+03	-2.461008e+01	-1.028917e+02	1.040340e+00	-4.076640e+00	2.008937e+02	1.735770e+00
1000100	5.460042e+01	2.038070e+04	4.503291e+04	2.740534e+03	-2.447015e+01	-1.030154e+02	1.976220e+00	-5.666650e+00	2.009765e+02	2.514250e+00
1000101	5.469410e+01	2.037804e+04	4.502402e+04	2.740430e+03	-2.429615e+01	-1.031178e+02	2.861270e+00	-7.511460e+00	2.010372e+02	3.306860e+00
1000102	5.479084e+01	2.037628e+04	4.501402e+04	2.740348e+03	-2.404375e+01	-1.032203e+02	3.884590e+00	-9.461630e+00	2.010735e+02	4.147850e+00
1000103	5.488612e+01	2.037362e+04	4.500402e+04	2.740299e+03	-2.372190e+01	-1.033203e+02	4.939350e+00	-1.147552e+01	2.010852e+02	4.893130e+00
1000104	5.498100e+01	2.037186e+04	4.499403e+04	2.740284e+03	-2.333646e+01	-1.034227e+02	5.977260e+00	-1.377710e+01	2.010793e+02	5.488550e+00
1000105	5.507533e+01	2.036920e+04	4.498403e+04	2.740312e+03	-2.289746e+01	-1.035300e+02	6.959340e+00	-1.614875e+01	2.009990e+02	6.067630e+00
1000106	5.517177e+01	2.036744e+04	4.497403e+04	2.740383e+03	-2.237430e+01	-1.036483e+02	7.943420e+00	-1.858049e+01	2.008084e+02	6.679860e+00
1000107	5.526637e+01	2.036478e+04	4.496403e+04	2.740510e+03	-2.178532e+01	-1.037729e+02	8.887680e+00	-2.097578e+01	2.005138e+02	7.263730e+00
1000108	5.536168e+01	2.036301e+04	4.495515e+04	2.740684e+03	-2.111561e+01	-1.039073e+02	9.811590e+00	-2.340276e+01	2.001069e+02	7.821120e+00
1000109	5.545588e+01	2.036125e+04	4.494515e+04	2.740925e+03	-2.037612e+01	-1.040495e+02	1.069500e+01	-2.582044e+01	1.995977e+02	8.332840e+00
1000110	5.554997e+01	2.035949e+04	4.493516e+04	2.741229e+03	-1.955925e+01	-1.042009e+02	1.154393e+01	-2.825659e+01	1.989901e+02	8.796360e+00
1000111	5.564689e+01	2.035772e+04	4.492517e+04	2.741610e+03	-1.863205e+01	-1.043675e+02	1.238161e+01	-3.083022e+01	1.982830e+02	9.200410e+00
1000112	5.574070e+01	2.035507e+04	4.491517e+04	2.742055e+03	-1.765225e+01	-1.045412e+02	1.314515e+01	-3.354190e+01	1.975970e+02	9.427210e+00
1000113	5.583687e+01	2.035420e+04	4.490518e+04	2.742577e+03	-1.661568e+01	-1.047322e+02	1.380363e+01	-3.648652e+01	1.969015e+02	9.506570e+00
1000114	5.593947e+01	2.035244e+04	4.489519e+04	2.743216e+03	-1.545819e+01	-1.049524e+02	1.438933e+01	-3.967239e+01	1.960715e+02	9.580340e+00
1000115	5.603703e+01	2.035068e+04	4.488408e+04	2.743915e+03	-1.429039e+01	-1.051771e+02	1.485826e+01	-4.272224e+01	1.952324e+02	9.617730e+00
1000116	5.613307e+01	2.034981e+04	4.487409e+04	2.744667e+03	-1.308059e+01	-1.054109e+02	1.523367e+01	-4.573777e+01	1.943895e+02	9.618370e+00
1000117	5.622676e+01	2.034805e+04	4.486410e+04	2.745476e+03	-1.184688e+01	-1.056486e+02	1.551979e+01	-4.868753e+01	1.935614e+02	9.592630e+00
1000118	5.631932e+01	2.034718e+04	4.485412e+04	2.746339e+03	-1.057793e+01	-1.058910e+02	1.572584e+01	-5.161142e+01	1.927433e+02	9.547320e+00
1000119	5.641493e+01	2.034631e+04	4.484413e+04	2.747295e+03	-9.218470e+00	-1.061471e+02	1.585906e+01	-5.463591e+01	1.919022e+02	9.484800e+00
1000120	5.651747e+01	2.034545e+04	4.483414e+04	2.748384e+03	-7.709350e+00	-1.064261e+02	1.591164e+01	-5.788345e+01	1.910049e+02	9.404480e+00
1000121	5.662004e+01	2.034458e+04	4.482304e+04	2.749550e+03	-6.152210e+00	-1.067071e+02	1.587086e+01	-6.113077e+01	1.901099e+02	9.313310e+00
1000122	5.672529e+01	2.034372e+04	4.481195e+04	2.750808e+03	-4.510780e+00	-1.069946e+02	1.573213e+01	-6.445900e+01	1.891896e+02	9.208310e+00
1000123	5.682878e+01	2.034375e+04	4.479974e+04	2.752111e+03	-2.858180e+00	-1.072742e+02	1.549985e+01	-6.772834e+01	1.882762e+02	9.089960e+00
1000124	5.693245e+01	2.034378e+04	4.478976e+04	2.753451e+03	-1.169850e+00	-1.075484e+02	1.517204e+01	-7.099830e+01	1.873473e+02	8.949800e+00
1000125	5.703721e+01	2.034381e+04	4.477867e+04	2.754855e+03	5.651000e-01	-1.078172e+02	1.474524e+01	-7.429736e+01	1.863888e+02	8.775380e+00
1000126	5.713890e+01	2.034384e+04	4.476757e+04	2.756255e+03	2.271760e+00	-1.080677e+02	1.423878e+01	-7.749178e+01	1.854354e+02	8.557010e+00
1000127	5.724260e+01	2.034387e+04	4.475537e+04	2.757715e+03	4.032740e+00	-1.083109e+02	1.362663e+01	-8.074380e+01	1.844396e+02	8.272670e+00
1000128	5.734501e+01	2.034390e+04	4.474539e+04	2.759160e+03	5.787510e+00	-1.085369e+02	1.292640e+01	-8.394757e+01	1.834367e+02	7.920760e+00
1000129	5.744825e+01	2.034483e+04	4.473430e+04	2.760631e+03	7.568780e+00	-1.087486e+02	1.212271e+01	-8.716937e+01	1.824112e+02	7.486100e+00
1000130	5.755162e+01	2.034575e+04	4.472210e+04	2.762114e+03	9.359480e+00	-1.089420e+02	1.121853e+01	-9.038470e+01	1.813773e+02	6.965070e+00
1000131	5.765370e+01	2.034757e+04	4.471101e+04	2.763560e+03	1.113352e+01	-1.091129e+02	1.022753e+01	-9.352679e+01	1.803575e+02	6.363350e+00
