	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000107	3.361036e+01	2.062589e+04	4.529111e+04	2.744474e+03	-1.690762e+01	-8.384268e+01	8.972920e+00	-1.327510e+00	2.028310e+02	5.936080e+00
1000108	3.371344e+01	2.062323e+04	4.528334e+04	2.745512e+03	-1.678721e+01	-8.353799e+01	8.825430e+00	-1.346080e+00	2.029094e+02	5.864800e+00
1000109	3.382196e+01	2.062147e+04	4.527335e+04	2.746606e+03	-1.666222e+01	-8.322076e+01	8.663370e+00	-1.368150e+00	2.029592e+02	5.782940e+00
1000110	3.392509e+01	2.061971e+04	4.526558e+04	2.747622e+03	-1.654472e+01	-8.292299e+01	8.502980e+00	-1.392310e+00	2.029752e+02	5.698700e+00
1000111	3.401906e+01	2.061794e+04	4.525781e+04	2.748544e+03	-1.643842e+01	-8.265498e+01	8.351600e+00	-1.417410e+00	2.029633e+02	5.616560e+00
1000112	3.412385e+01	2.061707e+04	4.524894e+04	2.749560e+03	-1.632033e+01	-8.235991e+01	8.176950e+00	-1.447010e+00	2.029212e+02	5.518950e+00
1000113	3.422735e+01	2.061441e+04	4.524116e+04	2.750551e+03	-1.620389e+01	-8.207281e+01	7.998550e+00	-1.479080e+00	2.028516e+02	5.416450e+00
1000114	3.432284e+01	2.061354e+04	4.523229e+04	2.751462e+03	-1.609630e+01	-8.181171e+01	7.828800e+00	-1.512700e+00	2.027645e+02	5.316560e+00
1000115	3.442558e+01	2.061178e+04	4.522452e+04	2.752417e+03	-1.598014e+01	-8.153499e+01	7.640830e+00	-1.551290e+00	2.026488e+02	5.203420e+00
1000116	3.452948e+01	2.061001e+04	4.521675e+04	2.753370e+03	-1.586197e+01	-8.125965e+01	7.445010e+00	-1.594840e+00	2.025118e+02	5.083140e+00
1000117	3.463496e+01	2.060825e+04	4.520787e+04	2.754330e+03	-1.573951e+01	-8.098235e+01	7.259600e+00	-1.644290e+00	2.023554e+02	4.955810e+00
1000118	3.473709e+01	2.060648e+04	4.519899e+04	2.755246e+03	-1.561707e+01	-8.071438e+01	7.114080e+00	-1.697120e+00	2.021905e+02	4.839300e+00
1000119	3.483886e+01	2.060561e+04	4.519122e+04	2.756134e+03	-1.549077e+01	-8.044733e+01	7.001730e+00	-1.754470e+00	2.020161e+02	4.741110e+00
1000120	3.493696e+01	2.060385e+04	4.518345e+04	2.756979e+03	-1.536484e+01	-8.018923e+01	6.923850e+00	-1.803890e+00	2.018417e+02	4.665160e+00
1000121	3.503479e+01	2.060208e+04	4.517568e+04	2.757809e+03	-1.523527e+01	-7.993043e+01	6.873430e+00	-1.808410e+00	2.016643e+02	4.608010e+00
1000122	3.513501e+01	2.060031e+04	4.516791e+04	2.758644e+03	-1.509942e+01	-7.966282e+01	6.846950e+00	-1.732440e+00	2.014816e+02	4.568700e+00
1000123	3.523338e+01	2.059944e+04	4.515903e+04	2.759457e+03	-1.496451e+01	-7.939647e+01	6.843370e+00	-1.511230e+00	2.013024e+02	4.560140e+00
1000124	3.533262e+01	2.059767e+04	4.515237e+04	2.760249e+03	-1.482640e+01	-7.912151e+01	6.873570e+00	-1.187660e+00	2.011268e+02	4.589470e+00
1000125	3.543606e+01	2.059591e+04	4.514349e+04	2.761078e+03	-1.468385e+01	-7.883058e+01	6.923780e+00	-8.391600e-01	2.009581e+02	4.643360e+00
1000126	3.553885e+01	2.059414e+04	4.513572e+04	2.761883e+03	-1.455432e+01	-7.856123e+01	6.898820e+00	-4.935400e-01	2.008150e+02	4.672730e+00
1000127	3.564224e+01	2.059327e+04	4.512795e+04	2.762679e+03	-1.442531e+01	-7.828200e+01	6.892770e+00	-1.443500e-01	2.007021e+02	4.667060e+00
1000128	3.574104e+01	2.059151e+04	4.512018e+04	2.763436e+03	-1.430365e+01	-7.800648e+01	6.907250e+00	1.907300e-01	2.006265e+02	4.677000e+00
1000129	3.584001e+01	2.059063e+04	4.511241e+04	2.764185e+03	-1.418355e+01	-7.772066e+01	6.944880e+00	5.262700e-01	2.005855e+02	4.703590e+00
1000130	3.594130e+01	2.058887e+04	4.510464e+04	2.764946e+03	-1.406258e+01	-7.741705e+01	7.004140e+00	8.270900e-01	2.005828e+02	4.763080e+00
1000131	3.603868e+01	2.058710e+04	4.509687e+04	2.765675e+03	-1.394896e+01	-7.711347e+01	7.092900e+00	1.107630e+00	2.006168e+02	4.845420e+00
1000132	3.613987e+01	2.058623e+04	4.508910e+04	2.766422e+03	-1.383689e+01	-7.679405e+01	7.191660e+00	1.403810e+00	2.006876e+02	4.942990e+00
1000133	3.624244e+01	2.058446e+04	4.508133e+04	2.767180e+03	-1.373038e+01	-7.646706e+01	7.295500e+00	1.709370e+00	2.007923e+02	5.046210e+00
1000134	3.634353e+01	2.058269e+04	4.507356e+04	2.767927e+03	-1.363317e+01	-7.614336e+01	7.391040e+00	2.012800e+00	2.009230e+02	5.145380e+00
1000135	3.644445e+01	2.058182e+04	4.506579e+04	2.768669e+03	-1.354353e+01	-7.581858e+01	7.478120e+00	2.317750e+00	2.010755e+02	5.235730e+00
1000136	3.654988e+01	2.058005e+04	4.505802e+04	2.769445e+03	-1.345523e+01	-7.547822e+01	7.566210e+00	2.530500e+00	2.012557e+02	5.292910e+00
1000137	3.665481e+01	2.057918e+04	4.505025e+04	2.770216e+03	-1.337547e+01	-7.514121e+01	7.626680e+00	2.461350e+00	2.014489e+02	5.279470e+00
1000138	3.676129e+01	2.057741e+04	4.504248e+04	2.771004e+03	-1.329857e+01	-7.480164e+01	7.667660e+00	2.360530e+00	2.016399e+02	5.277980e+00
1000139	3.686396e+01	2.057654e+04	4.503471e+04	2.771767e+03	-1.322499e+01	-7.447592e+01	7.694900e+00	2.264490e+00	2.018101e+02	5.286450e+00
1000140	3.696557e+01	2.057477e+04	4.502694e+04	2.772529e+03	-1.315143e+01	-7.415617e+01	7.709760e+00	2.169750e+00	2.019618e+02	5.294840e+00
1000141	3.706776e+01	2.057390e+04	4.501917e+04	2.773296e+03	-1.307680e+01	-7.383730e+01	7.713300e+00	2.074260e+00	2.020972e+02	5.302290e+00
1000142	3.716977e+01	2.057213e+04	4.501251e+04	2.774063e+03	-1.300250e+01	-7.352151e+01	7.706320e+00	1.978600e+00	2.022124e+02	5.308030e+00
1000143	3.727076e+01	2.057126e+04	4.500474e+04	2.774831e+03	-1.292846e+01	-7.321174e+01	7.689790e+00	1.882670e+00	2.023035e+02	5.311040e+00
1000144	3.737544e+01	2.056949e+04	4.499697e+04	2.775633e+03	-1.285075e+01	-7.289398e+01	7.663120e+00	1.781190e+00	2.023733e+02	5.310490e+00
1000145	3.748008e+01	2.056862e+04	4.498920e+04	2.776435e+03	-1.277193e+01	-7.257984e+01	7.627200e+00	1.677200e+00	2.024179e+02	5.305540e+00
1000146	3.758455e+01	2.056685e+04	4.498254e+04	2.777233e+03	-1.269157e+01	-7.227003e+01	7.582510e+00	1.570390e+00	2.024383e+02	5.295660e+00
1000147	3.768788e+01	2.056598e+04	4.497477e+04	2.778030e+03	-1.261037e+01	-7.196742e+01	7.529920e+00	1.461650e+00	2.024369e+02	5.280560e+00
1000148	3.778853e+01	2.056421e+04	4.496700e+04	2.778814e+03	-1.252946e+01	-7.167653e+01	7.470930e+00	1.352720e+00	2.024170e+02	5.260400e+00
1000149	3.788978e+01	2.056334e+04	4.496034e+04	2.779593e+03	-1.244617e+01	-7.138774e+01	7.404010e+00	1.240130e+00	2.023809e+02	5.234370e+00
1000150	3.799472e+01	2.056157e+04	4.495257e+04	2.780408e+03	-1.235751e+01	-7.109177e+01	7.334510e+00	1.121420e+00	2.023288e+02	5.173740e+00
1000151	3.808795e+01	2.056069e+04	4.494591e+04	2.781127e+03	-1.227615e+01	-7.083355e+01	7.255460e+00	1.017210e+00	2.022730e+02	5.063330e+00
1000152	3.819680e+01	2.055893e+04	4.493814e+04	2.781971e+03	-1.217950e+01	-7.053700e+01	7.141000e+00	8.999000e-01	2.022033e+02	4.936370e+00
1000153	3.830069e+01	2.055716e+04	4.493148e+04	2.782768e+03	-1.208551e+01	-7.025804e+01	7.020530e+00	7.893000e-01	2.021337e+02	4.825870e+00
1000154	3.840599e+01	2.055629e+04	4.492371e+04	2.783576e+03	-1.198877e+01	-6.998035e+01	6.884290e+00	6.761800e-01	2.020628e+02	4.713600e+00
1000155	3.850886e+01	2.055541e+04	4.491595e+04	2.784364e+03	-1.189307e+01	-6.971424e+01	6.737510e+00	5.644600e-01	2.019954e+02	4.595020e+00
1000156	3.861145e+01	2.055454e+04	4.490929e+04	2.785138e+03	-1.179644e+01	-6.945329e+01	6.581710e+00	4.522100e-01	2.019326e+02	4.471900e+00
1000157	3.870636e+01	2.055277e+04	4.490263e+04	2.785855e+03	-1.170626e+01	-6.921569e+01	6.429900e+00	3.538000e-01	2.018798e+02	4.355840e+00
1000158	3.881038e+01	2.055189e+04	4.489597e+04	2.786627e+03	-1.160685e+01	-6.895979e+01	6.253780e+00	2.698500e-01	2.018290e+02	4.240650e+00
1000159	3.891624e+01	2.055013e+04	4.488820e+04	2.787413e+03	-1.150609e+01	-6.870463e+01	6.064320e+00	2.091000e-01	2.017869e+02	4.167940e+00
1000160	3.901542e+01	2.054925e+04	4.488154e+04	2.788135e+03	-1.141196e+01	-6.846937e+01	5.896420e+00	1.967100e-01	2.017569e+02	4.154950e+00
1000161	3.912159e+01	2.054838e+04	4.487488e+04	2.788895e+03	-1.131195e+01	-6.822108e+01	5.735650e+00	1.939300e-01	2.017367e+02	4.143210e+00
1000162	3.921663e+01	2.054661e+04	4.486822e+04	2.789574e+03	-1.122463e+01	-6.800408e+01	5.590550e+00	1.983200e-01	2.017290e+02	4.122250e+00
1000163	3.931067e+01	2.054662e+04	4.486156e+04	2.790230e+03	-1.114138e+01	-6.779436e+01	5.444890e+00	2.586700e-01	2.017294e+02	4.125890e+00
1000164	3.940457e+01	2.054485e+04	4.485601e+04	2.790872e+03	-1.106001e+01	-6.758757e+01	5.313680e+00	3.681200e-01	2.017371e+02	4.133630e+00
1000165	3.950073e+01	2.054398e+04	4.484824e+04	2.791530e+03	-1.097982e+01	-6.737884e+01	5.182670e+00	4.865100e-01	2.017526e+02	4.115140e+00
1000166	3.959808e+01	2.054310e+04	4.484269e+04	2.792169e+03	-1.090265e+01	-6.717207e+01	5.044100e+00	6.083800e-01	2.017751e+02	4.094620e+00
1000167	3.969594e+01	2.054133e+04	4.483603e+04	2.792809e+03	-1.082927e+01	-6.696797e+01	4.910020e+00	7.541100e-01	2.018041e+02	4.123490e+00
1000168	3.979420e+01	2.054045e+04	4.482937e+04	2.793437e+03	-1.075882e+01	-6.676553e+01	4.796440e+00	9.185000e-01	2.018389e+02	4.149900e+00
1000169	3.989300e+01	2.053958e+04	4.482271e+04	2.794055e+03	-1.069047e+01	-6.656633e+01	4.689980e+00	1.072610e+00	2.018916e+02	4.149390e+00
1000170	3.999101e+01	2.053870e+04	4.481605e+04	2.794656e+03	-1.062937e+01	-6.637840e+01	4.588590e+00	1.146110e+00	2.019667e+02	4.130340e+00
1000171	4.009648e+01	2.053783e+04	4.480939e+04	2.795284e+03	-1.058057e+01	-6.621261e+01	4.483470e+00	1.198320e+00	2.020666e+02	4.093870e+00
1000172	4.020150e+01	2.053606e+04	4.480162e+04	2.795906e+03	-1.054371e+01	-6.607253e+01	4.382550e+00	1.204970e+00	2.021809e+02	4.043180e+00
