	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000067	2.616931e+01	2.129583e+04	4.539683e+04	2.709804e+03	-2.347141e+01	-1.011577e+02	-7.046760e+00	-1.005947e+01	2.012633e+02	-4.533890e+00
1000068	2.627046e+01	2.129407e+04	4.538683e+04	2.709454e+03	-2.332421e+01	-1.014009e+02	-6.784940e+00	-1.018190e+01	2.010778e+02	-4.283140e+00
1000069	2.636810e+01	2.129141e+04	4.537683e+04	2.709075e+03	-2.317459e+01	-1.016338e+02	-6.517720e+00	-1.029022e+01	2.009149e+02	-4.090350e+00
1000070	2.647192e+01	2.128964e+04	4.536683e+04	2.708622e+03	-2.300870e+01	-1.018788e+02	-6.223920e+00	-1.039949e+01	2.007480e+02	-3.875400e+00
1000071	2.657231e+01	2.128699e+04	4.535683e+04	2.708155e+03	-2.283926e+01	-1.021141e+02	-5.914730e+00	-1.050333e+01	2.005899e+02	-3.640390e+00
1000072	2.667432e+01	2.128433e+04	4.534683e+04	2.707652e+03	-2.265796e+01	-1.023511e+02	-5.575350e+00	-1.063023e+01	2.004405e+02	-3.415390e+00
1000073	2.677678e+01	2.128257e+04	4.533572e+04	2.707131e+03	-2.246996e+01	-1.025851e+02	-5.227320e+00	-1.076319e+01	2.003022e+02	-3.216890e+00
1000074	2.687616e+01	2.127991e+04	4.532571e+04	2.706612e+03	-2.228307e+01	-1.028079e+02	-4.889170e+00	-1.089230e+01	2.001770e+02	-3.047900e+00
1000075	2.698013e+01	2.127815e+04	4.531460e+04	2.706063e+03	-2.208473e+01	-1.030360e+02	-4.544650e+00	-1.102698e+01	2.000502e+02	-2.878840e+00
1000076	2.708238e+01	2.127549e+04	4.530460e+04	2.705516e+03	-2.188598e+01	-1.032559e+02	-4.208890e+00	-1.115871e+01	1.999250e+02	-2.705520e+00
1000077	2.718506e+01	2.127283e+04	4.529349e+04	2.704981e+03	-2.168227e+01	-1.034725e+02	-3.872580e+00	-1.129038e+01	1.998006e+02	-2.541860e+00
1000078	2.728856e+01	2.127107e+04	4.528349e+04	2.704438e+03	-2.147411e+01	-1.036860e+02	-3.541600e+00	-1.142246e+01	1.996726e+02	-2.376370e+00
1000079	2.739104e+01	2.126841e+04	4.527237e+04	2.703923e+03	-2.126432e+01	-1.038932e+02	-3.216330e+00	-1.154659e+01	1.995405e+02	-2.206130e+00
1000080	2.749580e+01	2.126665e+04	4.526126e+04	2.703407e+03	-2.104781e+01	-1.041000e+02	-2.890600e+00	-1.162026e+01	1.993946e+02	-2.010670e+00
1000081	2.759828e+01	2.126399e+04	4.525126e+04	2.702917e+03	-2.083139e+01	-1.042979e+02	-2.559930e+00	-1.155591e+01	1.992311e+02	-1.766250e+00
1000082	2.770314e+01	2.126223e+04	4.524015e+04	2.702440e+03	-2.060336e+01	-1.044955e+02	-2.191330e+00	-1.140829e+01	1.990518e+02	-1.497960e+00
1000083	2.779800e+01	2.126046e+04	4.523015e+04	2.702028e+03	-2.040114e+01	-1.046670e+02	-1.845530e+00	-1.095727e+01	1.988753e+02	-1.254090e+00
1000084	2.790201e+01	2.125870e+04	4.521904e+04	2.701600e+03	-2.018589e+01	-1.048465e+02	-1.421750e+00	-9.780170e+00	1.986934e+02	-1.182990e+00
1000085	2.799626e+01	2.125605e+04	4.520904e+04	2.701238e+03	-2.003217e+01	-1.049942e+02	-1.139920e+00	-8.130060e+00	1.985555e+02	-1.451560e+00
