	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000060	2.991461e+01	2.055820e+04	4.552500e+04	2.713205e+03	-1.954062e+01	-9.753322e+01	1.365764e+01	-2.714380e+00	2.004578e+02	7.911230e+00
1000061	3.000943e+01	2.055645e+04	4.551501e+04	2.715245e+03	-1.943966e+01	-9.739222e+01	1.395049e+01	-2.825450e+00	2.004025e+02	8.091020e+00
1000062	3.010659e+01	2.055379e+04	4.550614e+04	2.717201e+03	-1.933209e+01	-9.724630e+01	1.424712e+01	-2.941800e+00	2.003374e+02	8.273290e+00
1000063	3.020111e+01	2.055293e+04	4.549616e+04	2.719006e+03	-1.922340e+01	-9.710307e+01	1.453209e+01	-3.057310e+00	2.002679e+02	8.448670e+00
1000064	3.029647e+01	2.055117e+04	4.548728e+04	2.720741e+03	-1.910959e+01	-9.695736e+01	1.481601e+01	-3.176030e+00	2.001939e+02	8.623790e+00
1000065	3.039422e+01	2.054851e+04	4.547841e+04	2.722453e+03	-1.898867e+01	-9.680684e+01	1.510308e+01	-3.299600e+00	2.001164e+02	8.801420e+00
1000066	3.049055e+01	2.054676e+04	4.546842e+04	2.724095e+03	-1.886537e+01	-9.665742e+01	1.538194e+01	-3.422810e+00	2.000405e+02	8.974700e+00
1000067	3.058839e+01	2.054589e+04	4.545955e+04	2.725710e+03	-1.873609e+01	-9.650453e+01	1.566100e+01	-3.548940e+00	1.999663e+02	9.149030e+00
1000068	3.068682e+01	2.054323e+04	4.545067e+04	2.727309e+03	-1.860217e+01	-9.634960e+01	1.593740e+01	-3.676270e+00	1.998961e+02	9.322820e+00
1000069	3.079284e+01	2.054148e+04	4.543958e+04	2.729018e+03	-1.845391e+01	-9.618140e+01	1.623016e+01	-3.813360e+00	1.998271e+02	9.508300e+00
