	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
1000129	3.607012e+01	2.036594e+04	4.478271e+04	2.690009e+03	-1.849006e+01	-9.207675e+01	-2.327960e+00	1.783100e+00	2.003751e+02	-2.296440e+00
1000130	3.616529e+01	2.036328e+04	4.477382e+04	2.689844e+03	-1.847125e+01	-9.194851e+01	-2.403300e+00	2.028440e+00	2.002636e+02	-2.354450e+00
1000131	3.626645e+01	2.036151e+04	4.476493e+04	2.689659e+03	-1.844879e+01	-9.181358e+01	-2.500070e+00	2.084480e+00	2.001559e+02	-2.388860e+00
1000132	3.636577e+01	2.036064e+04	4.475605e+04	2.689472e+03	-1.842677e+01	-9.168129e+01	-2.578870e+00	1.957910e+00	2.000673e+02	-2.390760e+00
1000133	3.646088e+01	2.035798e+04	4.474716e+04	2.689297e+03	-1.840310e+01	-9.155561e+01	-2.643880e+00	1.814860e+00	1.999966e+02	-2.393920e+00
1000134	3.655797e+01	2.035621e+04	4.473827e+04	2.689112e+03	-1.837431e+01	-9.142895e+01	-2.714170e+00	1.621680e+00	1.999423e+02	-2.384280e+00
1000135	3.665461e+01	2.035444e+04	4.472938e+04	2.688923e+03	-1.834196e+01	-9.130397e+01	-2.769790e+00	1.319510e+00	1.999118e+02	-2.327810e+00
1000136	3.675501e+01	2.035268e+04	4.472049e+04	2.688720e+03	-1.830416e+01	-9.117519e+01	-2.799780e+00	9.834200e-01	1.999024e+02	-2.269420e+00
1000137	3.684977e+01	2.035091e+04	4.471160e+04	2.688527e+03	-1.826360e+01	-9.105479e+01	-2.818160e+00	6.598300e-01	1.999131e+02	-2.228510e+00
1000138	3.694532e+01	2.034914e+04	4.470272e+04	2.688329e+03	-1.821708e+01	-9.093479e+01	-2.838540e+00	2.890400e-01	1.999441e+02	-2.172570e+00
1000139	3.704390e+01	2.034738e+04	4.469383e+04	2.688117e+03	-1.816214e+01	-9.081288e+01	-2.848490e+00	-2.567600e-01	2.000008e+02	-2.055030e+00
1000140	3.714385e+01	2.034561e+04	4.468494e+04	2.687897e+03	-1.809888e+01	-9.069150e+01	-2.819150e+00	-9.754700e-01	2.000830e+02	-1.913050e+00
1000141	3.723813e+01	2.034384e+04	4.467605e+04	2.687688e+03	-1.803031e+01	-9.057986e+01	-2.768730e+00	-1.673520e+00	2.001768e+02	-1.799770e+00
1000142	3.733464e+01	2.034207e+04	4.466717e+04	2.687469e+03	-1.795080e+01	-9.046903e+01	-2.707410e+00	-2.389750e+00	2.002851e+02	-1.699920e+00
1000143	3.743219e+01	2.034031e+04	4.465828e+04	2.687244e+03	-1.786113e+01	-9.036105e+01	-2.639150e+00	-3.114090e+00	2.004024e+02	-1.607430e+00
1000144	3.753203e+01	2.033854e+04	4.464939e+04	2.687009e+03	-1.776017e+01	-9.025513e+01	-2.565540e+00	-3.851960e+00	2.005257e+02	-1.518210e+00
1000145	3.763340e+01	2.033677e+04	4.464050e+04	2.686768e+03	-1.764858e+01	-9.015285e+01	-2.489450e+00	-4.596090e+00	2.006484e+02	-1.431460e+00
